"BOROUGH","NEIGHBORHOOD","BUILDING.CLASS.CATEGORY","TAX.CLASS.AT.PRESENT","BLOCK","LOT","EASE.MENT","BUILDING.CLASS.AT.PRESENT","ADDRESS","APARTMENT.NUMBER","ZIP.CODE","RESIDENTIAL.UNITS","COMMERCIAL.UNITS","TOTAL.UNITS","LAND.SQUARE.FEET","GROSS.SQUARE.FEET","YEAR.BUILT","TAX.CLASS.AT.TIME.OF.SALE","BUILDING.CLASS.AT.TIME.OF.SALE","SALE.PRICE","SALE.DATE"
4,"FAR ROCKAWAY             ","01  ONE FAMILY DWELLINGS                    ","1",15622,87,,"A6","317 BEACH 13 STREET                      ","            ",11691,1,0,1,1293,512,1925,1,"A6",10,"2016-02-15"
4,"FAR ROCKAWAY             ","01  ONE FAMILY DWELLINGS                    ","1",15622,87,,"A6","317 BEACH 13 STREET                      ","            ",11691,1,0,1,1293,512,1925,1,"A6",10,"2016-02-04"
4,"FAR ROCKAWAY             ","01  ONE FAMILY DWELLINGS                    ","1",15697,12,,"A2","29-38 BAILEY COURT                       ","            ",11691,1,0,1,6904,520,1955,1,"A2",380000,"2015-09-16"
4,"FAR ROCKAWAY             ","01  ONE FAMILY DWELLINGS                    ","1",15752,25,,"A5","22-48 NEW HAVEN AVENUE                   ","            ",11691,1,0,1,3496,924,1960,1,"A5",143000,"2015-07-16"
4,"FAR ROCKAWAY             ","01  ONE FAMILY DWELLINGS                    ","1",15803,7,,"A1","27-03 SEAGIRT BLVD                       ","            ",11691,1,0,1,305,986,1930,1,"A1",95000,"2015-07-31"
4,"FAR ROCKAWAY             ","01  ONE FAMILY DWELLINGS                    ","1",15815,35,,"A6","173 BEACH 24 STREET                      ","            ",11691,1,0,1,1225,525,1930,1,"A6",140000,"2016-02-24"
4,"FAR ROCKAWAY             ","01  ONE FAMILY DWELLINGS                    ","1",15815,46,,"A6","189 BEACH 24 STREET                      ","            ",11691,1,0,1,1470,700,1930,1,"A6",265000,"2015-05-01"
4,"FAR ROCKAWAY             ","01  ONE FAMILY DWELLINGS                    ","1",15815,124,,"A6","154 BEACH 25 STREET                      ","            ",11691,1,0,1,1225,525,1930,1,"A6",278000,"2015-10-07"
4,"FAR ROCKAWAY             ","01  ONE FAMILY DWELLINGS                    ","1",15815,127,,"A6","160 BEACH 25TH STREET                    ","            ",11691,1,0,1,1225,525,1930,1,"A6",75000,"2015-12-18"
4,"FAR ROCKAWAY             ","01  ONE FAMILY DWELLINGS                    ","1",15815,146,,"A6","188 BEACH 25TH STREET                    ","            ",11691,1,0,1,1470,700,1930,1,"A6",195800,"2015-05-28"
4,"FAR ROCKAWAY             ","01  ONE FAMILY DWELLINGS                    ","1",15815,153,,"A6","196 BEACH 25 STREET                      ","            ",11691,1,0,1,1470,700,1930,1,"A6",48500,"2016-03-23"
4,"FAR ROCKAWAY             ","02  TWO FAMILY DWELLINGS                    ","1",15817,38,,"B9","166 BEACH 26 STREET                      ","            ",11691,2,0,2,2450,525,1910,1,"B9",20600,"2015-06-26"
4,"FAR ROCKAWAY             ","02  TWO FAMILY DWELLINGS                    ","1",15817,73,,"B9","179 BEACH 25TH ST                        ","            ",11691,2,0,2,2450,525,1910,1,"B9",123000,"2015-11-13"
4,"FLORAL PARK              ","01  ONE FAMILY DWELLINGS                    ","1",8697,15,,"A2","79-40 261 STREET                         ","            ",11004,1,0,1,4542,1000,1950,1,"A2",545000,"2015-09-30"
4,"FLORAL PARK              ","01  ONE FAMILY DWELLINGS                    ","1",8706,43,,"A0","79-45 269TH   STREET                     ","            ",11040,1,0,1,6000,949,1950,1,"A0",610000,"2015-07-09"
4,"FLORAL PARK              ","01  ONE FAMILY DWELLINGS                    ","1",8719,41,,"A2","263-20 80 AVENUE                         ","            ",11004,1,0,1,4000,960,1950,1,"A2",540000,"2015-05-14"
4,"FLORAL PARK              ","01  ONE FAMILY DWELLINGS                    ","1",8723,18,,"A2","80-39 267TH STREET                       ","            ",11004,1,0,1,4000,989,1950,1,"A2",505000,"2015-09-24"
4,"FLORAL PARK              ","01  ONE FAMILY DWELLINGS                    ","1",8747,15,,"A1","254-20 82ND   ROAD                       ","            ",11004,1,0,1,2200,714,1920,1,"A1",440000,"2016-01-25"
4,"FLORAL PARK              ","01  ONE FAMILY DWELLINGS                    ","1",8755,1,,"A2","261-19 83 AVENUE                         ","            ",11004,1,0,1,4000,832,1950,1,"A2",560000,"2015-05-05"
4,"FLORAL PARK              ","01  ONE FAMILY DWELLINGS                    ","1",8755,65,,"A2","82-50 262ND   STREET                     ","            ",11004,1,0,1,4500,930,1950,1,"A2",525000,"2015-11-16"
4,"FLORAL PARK              ","01  ONE FAMILY DWELLINGS                    ","1",8757,14,,"A2","82-55 263RD   STREET                     ","            ",11004,1,0,1,4000,996,1950,1,"A2",510000,"2015-10-21"
4,"FLORAL PARK              ","01  ONE FAMILY DWELLINGS                    ","1",8787,75,,"A2","84-19 257TH   STREET                     ","            ",11001,1,0,1,4000,990,1945,1,"A2",450000,"2015-07-20"
4,"FLORAL PARK              ","01  ONE FAMILY DWELLINGS                    ","1",8802,9,,"A9","259-01 86TH   AVENUE                     ","            ",11001,1,0,1,4000,902,1940,1,"A9",410000,"2015-11-16"
4,"FLORAL PARK              ","01  ONE FAMILY DWELLINGS                    ","1",8803,61,,"A2","85-46 261 STREET                         ","            ",11001,1,0,1,4000,848,1945,1,"A2",484000,"2015-07-10"
4,"FLORAL PARK              ","01  ONE FAMILY DWELLINGS                    ","1",8805,71,,"A2","85-50 263RD STREET                       ","            ",11001,1,0,1,4000,715,1945,1,"A2",410000,"2015-10-08"
4,"FLORAL PARK              ","01  ONE FAMILY DWELLINGS                    ","1",8807,9,,"A9","84-51 264TH   STREET                     ","            ",11001,1,0,1,3000,620,1940,1,"A9",540000,"2015-09-22"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4810,139,,"A5","25-42 150TH   STREET                     ","            ",11354,1,0,1,1870,796,1930,1,"A5",575000,"2015-08-03"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4810,140,,"A5","25-44 150 STREET                         ","            ",11354,1,0,1,1870,796,1930,1,"A5",550000,"2015-11-20"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4833,63,,"A2","151-49 28TH   AVENUE                     ","            ",11354,1,0,1,4000,845,1945,1,"A2",650000,"2015-05-11"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4845,31,,"A2","154-52 24TH   AVENUE                     ","            ",11357,1,0,1,4100,1000,1955,1,"A2",745000,"2015-08-19"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4886,129,,"A5","160-64 26TH   AVENUE                     ","            ",11358,1,0,1,1520,896,1945,1,"A5",550000,"2015-07-16"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",4940,14,,"A5","32-24 190 STREET                         ","            ",11358,1,0,1,1980,968,1950,1,"A5",520000,"2015-11-13"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5325,141,,"A5","196-01 STATION ROAD                      ","            ",11358,1,0,1,1512,960,1940,1,"A5",500000,"2015-09-22"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5325,169,,"A5","194-05 STATION ROAD                      ","            ",11358,1,0,1,1512,960,1940,1,"A5",505000,"2015-06-03"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5572,68,,"A0","49-44 169TH   STREET                     ","            ",11365,1,0,1,4000,945,1950,1,"A0",615000,"2015-05-08"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5575,12,,"A2","170-04 PIDGEON MEADOW ROAD               ","            ",11365,1,0,1,4962,950,1945,1,"A2",765000,"2016-04-12"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5623,70,,"A2","48-86 188TH STREET                       ","            ",11365,1,0,1,4000,836,1940,1,"A2",705000,"2015-11-16"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5624,5,,"A2","48-45 188TH STREET                       ","            ",11365,1,0,1,4000,836,1940,1,"A2",672000,"2016-04-13"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5646,13,,"A0","50-16 193 STREET                         ","            ",11365,1,0,1,4000,973,1945,1,"A0",760000,"2015-09-02"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5653,1,,"A5","50-46 184TH STREET                       ","            ",11365,1,0,1,3666,896,1960,1,"A5",520000,"2015-12-29"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5654,36,,"A5","50-24 185TH   STREET                     ","            ",11365,1,0,1,2500,896,1940,1,"A5",520000,"2015-06-19"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5655,13,,"A5","50-25 185 STREET                         ","            ",11365,1,0,1,2617,896,1950,1,"A5",605000,"2015-10-19"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5670,14,,"A5","56-18 185 STREET                         ","            ",11365,1,0,1,2500,896,1940,1,"A5",593675,"2015-08-03"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5678,9,,"A0","192-18 56 AVENUE                         ","            ",11365,1,0,1,4000,900,1950,1,"A0",658000,"2015-12-21"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5748,71,,"A0","163-15 20TH   ROAD                       ","            ",11357,1,0,1,4142,990,1945,1,"A0",10,"2015-09-04"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",5749,44,,"A0","163-63 21ST AVENUE                       ","            ",11357,1,0,1,4142,972,1945,1,"A0",834000,"2016-02-12"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",6355,18,,"A2","130-28 59TH   AVENUE                     ","            ",11355,1,0,1,3000,800,1920,1,"A2",880000,"2016-02-05"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",6410,37,,"A5","142-28 60TH AVENUE                       ","            ",11355,1,0,1,2200,966,1950,1,"A5",735000,"2015-11-04"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",6414,18,,"A5","146-22 58TH   AVENUE                     ","            ",11355,1,0,1,2200,974,1950,1,"A5",813000,"2015-09-16"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",6414,36,,"A5","146-35 58 ROAD                           ","            ",11355,1,0,1,2200,974,1950,1,"A5",770000,"2016-01-14"
4,"FLUSHING-NORTH           ","01  ONE FAMILY DWELLINGS                    ","1",6439,50,,"A5","153-20 58TH   ROAD                       ","            ",11355,1,0,1,1600,960,1950,1,"A5",599700,"2015-10-15"
4,"FLUSHING-SOUTH           ","01  ONE FAMILY DWELLINGS                    ","1",6750,20,,"A5","157-09 65 AVENUE                         ","            ",11367,1,0,1,2000,788,1950,1,"A5",470000,"2015-07-31"
4,"FLUSHING-SOUTH           ","01  ONE FAMILY DWELLINGS                    ","1",6935,17,,"A2","69-24 167TH STREET                       ","            ",11365,1,0,1,3800,875,1940,1,"A2",695000,"2016-02-01"
4,"FLUSHING-SOUTH           ","01  ONE FAMILY DWELLINGS                    ","1",6935,17,,"A2","69-24 167TH   STREET                     ","            ",11365,1,0,1,3800,875,1940,1,"A2",499000,"2015-09-08"
4,"FLUSHING-SOUTH           ","01  ONE FAMILY DWELLINGS                    ","1",6941,12,,"A1","70-15 168TH   STREET                     ","            ",11365,1,0,1,3159,978,1927,1,"A1",650000,"2015-11-02"
4,"GLEN OAKS                ","01  ONE FAMILY DWELLINGS                    ","1",8502,20,,"A5","77-30 250TH   STREET                     ","            ",11426,1,0,1,2500,896,1950,1,"A5",459000,"2016-03-07"
4,"GLEN OAKS                ","01  ONE FAMILY DWELLINGS                    ","1",8502,31,,"A5","77-35 249TH STREET                       ","            ",11426,1,0,1,2500,896,1950,1,"A5",415000,"2015-05-07"
4,"GLEN OAKS                ","01  ONE FAMILY DWELLINGS                    ","1",8503,9,,"A5","250-20 SHILOH AVENUE                     ","            ",11426,1,0,1,3312,896,1950,1,"A5",400000,"2016-01-21"
4,"GLEN OAKS                ","01  ONE FAMILY DWELLINGS                    ","1",8506,42,,"A5","77-51 251 STREET                         ","            ",11426,1,0,1,3500,896,1950,1,"A5",349000,"2015-10-23"
4,"GLEN OAKS                ","01  ONE FAMILY DWELLINGS                    ","1",8506,52,,"A5","77-31 251ST   STREET                     ","            ",11426,1,0,1,2500,896,1940,1,"A5",420000,"2015-07-28"
4,"GLEN OAKS                ","01  ONE FAMILY DWELLINGS                    ","1",8506,59,,"A5","77-17 251ST STREET                       ","            ",11426,1,0,1,2500,896,1940,1,"A5",457500,"2016-02-09"
4,"GLEN OAKS                ","01  ONE FAMILY DWELLINGS                    ","1",8506,65,,"A5","77-05 251ST   STREET                     ","            ",11426,1,0,1,2500,896,1940,1,"A5",415000,"2015-06-22"
4,"GLENDALE                 ","01  ONE FAMILY DWELLINGS                    ","1",3696,63,,"A2","72-45 73RD STREET                        ","            ",11385,1,0,1,2664,800,1910,1,"A2",385000,"2015-11-06"
4,"GLENDALE                 ","01  ONE FAMILY DWELLINGS                    ","1",3729,6,,"A2","5618 CLOVER PLACE                        ","            ",11385,1,0,1,1489,615,1910,1,"A2",265000,"2015-11-06"
4,"GLENDALE                 ","01  ONE FAMILY DWELLINGS                    ","1",3731,20,,"A9","8032 59TH STREET                         ","            ",11385,1,0,1,2500,984,1920,1,"A9",456000,"2015-12-16"
4,"GLENDALE                 ","01  ONE FAMILY DWELLINGS                    ","1",3905,6,,"A2","97-08 72ND   DRIVE                       ","            ",11375,1,0,1,4317,924,1940,1,"A2",759000,"2016-04-08"
4,"GLENDALE                 ","01  ONE FAMILY DWELLINGS                    ","1",3905,6,,"A2","97-08 72ND   DRIVE                       ","            ",11375,1,0,1,4317,924,1940,1,"A2",690000,"2015-06-04"
4,"GLENDALE                 ","01  ONE FAMILY DWELLINGS                    ","1",3906,5,,"A2","108-19 UNION TURNPIKE                    ","            ",11375,1,0,1,2625,946,1945,1,"A2",610000,"2015-09-08"
4,"GLENDALE                 ","01  ONE FAMILY DWELLINGS                    ","1",3906,6,,"A2","108-17 UNION TURNPIKE                    ","            ",11375,1,0,1,2925,946,1945,1,"A2",440000,"2015-06-30"
4,"GLENDALE                 ","27  FACTORIES                               ","4",3638,47,,"E9","71-02 64TH   STREET                      ","            ",11385,0,1,1,800,608,1931,4,"F9",195000,"2016-02-10"
4,"GLENDALE                 ","29  COMMERCIAL GARAGES                      ","4",3865,1,,"G5","89-07 MYRTLE AVENUE                      ","            ",11385,0,1,1,7200,816,1931,4,"G5",1052841,"2015-12-29"
4,"HAMMELS                  ","01  ONE FAMILY DWELLINGS                    ","1",16119,51,,"A2","336 BEACH 88 STREET                      ","            ",11693,1,0,1,1404,867,1920,1,"A2",250000,"2015-12-04"
4,"HAMMELS                  ","01  ONE FAMILY DWELLINGS                    ","1",16119,297,,"A6","87-20 DORMANS ROAD                       ","            ",11693,1,0,1,810,300,1920,1,"A6",87500,"2015-08-10"
4,"HAMMELS                  ","01  ONE FAMILY DWELLINGS                    ","1",16123,18,,"A5","3-18 BEACH 90 STREET                     ","            ",11693,1,0,1,2435,896,1955,1,"A5",325000,"2016-02-29"
4,"HILLCREST                ","01  ONE FAMILY DWELLINGS                    ","1",7016,8,,"A2","80-22 166TH   STREET                     ","            ",11432,1,0,1,3000,732,1970,1,"A2",465000,"2015-08-19"
4,"HILLCREST                ","01  ONE FAMILY DWELLINGS                    ","1",7039,14,,"A5","82-31 164TH   PLACE                      ","            ",11432,1,0,1,2184,960,1930,1,"A5",515000,"2015-06-15"
4,"HOLLIS                   ","01  ONE FAMILY DWELLINGS                    ","1",10347,70,,"A2","185-15 DUNLOP AVENUE                     ","            ",11412,1,0,1,2200,968,1945,1,"A2",295000,"2015-06-23"
4,"HOLLIS                   ","01  ONE FAMILY DWELLINGS                    ","1",10347,71,,"A2","18511 DUNLOP AVE                         ","            ",11412,1,0,1,2200,968,1945,1,"A2",10,"2015-09-29"
4,"HOLLIS                   ","01  ONE FAMILY DWELLINGS                    ","1",10347,103,,"A5","183-09 DUNLOP AVENUE                     ","            ",11412,1,0,1,2200,968,1945,1,"A5",349000,"2015-10-16"
4,"HOLLIS                   ","01  ONE FAMILY DWELLINGS                    ","1",10347,103,,"A5","183-09 DUNLOP AVE                        ","            ",11412,1,0,1,2200,968,1945,1,"A5",190000,"2015-07-20"
4,"HOLLIS                   ","01  ONE FAMILY DWELLINGS                    ","1",10845,2,,"A5","99-01 198TH STREET                       ","            ",11423,1,0,1,2500,960,1960,1,"A5",295000,"2015-05-26"
4,"HOLLIS                   ","01  ONE FAMILY DWELLINGS                    ","1",10845,37,,"A5","99-07 198TH   STREET                     ","            ",11423,1,0,1,2500,960,1960,1,"A5",368000,"2016-02-26"
4,"HOLLIS                   ","01  ONE FAMILY DWELLINGS                    ","1",10869,37,,"A1","202-09 104TH   AVENUE                    ","            ",11412,1,0,1,2000,896,1930,1,"A1",310000,"2016-03-07"
4,"HOLLIS                   ","02  TWO FAMILY DWELLINGS                    ","1",10572,46,,"B3","89-37 207 STREET                         ","            ",11427,2,0,2,2400,992,1925,1,"B3",410000,"2015-05-06"
4,"HOLLIS                   ","30  WAREHOUSES                              ","4",10323,121,,"E9","92-17 180TH   STREET                     ","            ",11433,0,1,1,858,740,1950,4,"E9",225000,"2015-07-16"
4,"HOLLIS HILLS             ","01  ONE FAMILY DWELLINGS                    ","1",7801,26,,"A2","82-21 209TH   STREET                     ","            ",11427,1,0,1,4400,964,1960,1,"A2",755000,"2015-09-24"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",13955,17,,"A2","156-26 91ST STREET                       ","            ",11414,1,0,1,4000,1000,1965,1,"A2",590000,"2015-09-24"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",13955,25,,"A2","156-42 91ST ST                           ","            ",11414,1,0,1,4000,1000,1965,1,"A2",562500,"2016-03-29"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",14182,83,,"A2","102-18 159TH   DRIVE                     ","            ",11414,1,0,1,1500,683,1920,1,"A2",140000,"2015-09-09"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",14228,152,,"A2","14 CHURCH STREET                         ","            ",11414,1,0,1,1260,448,1920,1,"A2",50000,"2015-05-28"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",14228,170,,"A2","11 BAYVIEW AVENUE                        ","            ",11414,1,0,1,1200,640,1920,1,"A2",105105,"2015-05-29"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",14228,174,,"A2","25A BAYVIEW AVENUE                       ","            ",11414,1,0,1,1200,800,1910,1,"A2",179000,"2015-07-23"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",14231,769,,"A1","153 HAWTREE BASIN                        ","            ",11414,1,0,1,2200,960,1920,1,"A1",20900,"2015-09-21"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",14238,1045,,"A1","102-16 RUSSELL STREET                    ","            ",11414,1,0,1,1400,832,1930,1,"A1",275600,"2015-05-29"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",14243,1237,,"A2","99-39 163 ROAD                           ","            ",11414,1,0,1,1600,808,1925,1,"A2",239067,"2015-12-30"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",14244,1262,,"A1","99-56 BURLINGHAM COURT                   ","            ",11414,1,0,1,3200,980,1920,1,"A1",90000,"2016-02-29"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",14244,1332,,"A2","99-51 163RD DRIVE                        ","            ",11414,1,0,1,2400,926,1920,1,"A2",250000,"2016-01-08"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",14247,1277,,"A2","102-06 BURLINGHAM                        ","            ",11414,1,0,1,1920,912,1930,1,"A2",554748,"2015-10-23"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",14247,1295,,"A2","163-30 104TH   STREET                    ","            ",11414,1,0,1,1600,520,1930,1,"A2",105000,"2016-02-01"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",14248,1422,,"A1","102-17 164TH AVENUE                      ","            ",11414,1,0,1,1600,928,1930,1,"A1",250000,"2015-05-20"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",14251,1662,,"A2","99-74 164TH   ROAD                       ","            ",11414,1,0,1,1600,840,1925,1,"A2",220000,"2015-08-24"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",14253,1506,,"A2","102-32 164 AVENUE                        ","            ",11414,1,0,1,3200,664,1930,1,"A2",135000,"2016-03-17"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",14253,1523,,"A2","102-23 164TH ROAD                        ","            ",11414,1,0,1,1600,384,1930,1,"A2",34500,"2015-07-30"
4,"HOWARD BEACH             ","01  ONE FAMILY DWELLINGS                    ","1",14253,1535,,"A2","99-81 CALHOUN ROAD                       ","            ",11414,1,0,1,1600,448,1930,1,"A2",274469,"2015-08-26"
4,"JACKSON HEIGHTS          ","01  ONE FAMILY DWELLINGS                    ","1",969,24,,"A1","2140 74TH STREET                         ","            ",11370,1,0,1,2500,838,1925,1,"A1",1200000,"2015-12-18"
4,"JACKSON HEIGHTS          ","01  ONE FAMILY DWELLINGS                    ","1",1095,49,,"A5","83-03 25TH   AVENUE                      ","            ",11370,1,0,1,2200,892,1940,1,"A5",545000,"2015-08-13"
4,"JACKSON HEIGHTS          ","01  ONE FAMILY DWELLINGS                    ","1",1398,12,,"A2","31-10 87 STREET                          ","            ",11369,1,0,1,2200,888,1940,1,"A2",585000,"2015-12-14"
4,"JACKSON HEIGHTS          ","02  TWO FAMILY DWELLINGS                    ","1",1362,36,,"B3","25-54 89TH   STREET                      ","            ",11369,2,0,2,2142,977,1950,1,"B3",442050,"2016-01-05"
4,"JACKSON HEIGHTS          ","02  TWO FAMILY DWELLINGS                    ","1",1362,36,,"B3","25-54 89TH STREET                        ","            ",11369,2,0,2,2142,977,1950,1,"B3",600954,"2015-07-10"
4,"JAMAICA                  ","01  ONE FAMILY DWELLINGS                    ","1",10008,11,,"A1","95-12 LIVERPOOL STREET                   ","            ",11435,1,0,1,2500,901,1920,1,"A1",270000,"2015-11-09"
4,"JAMAICA                  ","01  ONE FAMILY DWELLINGS                    ","1",10032,12,,"A1","97-14 148TH   STREET                     ","            ",11435,1,0,1,1500,984,1901,1,"A1",390000,"2015-11-23"
4,"JAMAICA BAY              ","01  ONE FAMILY DWELLINGS                    ","1",13913,223,,"A2","155-85 BAYVIEW AVE                       ","            ",11422,1,0,1,2500,780,1925,1,"A2",300000,"2015-12-10"
4,"JAMAICA ESTATES          ","01  ONE FAMILY DWELLINGS                    ","1",7240,64,,"A1","181-35 TUDOR ROAD                        ","            ",11432,1,0,1,6000,931,1920,1,"A2",1260000,"2016-02-22"
4,"KEW GARDENS              ","01  ONE FAMILY DWELLINGS                    ","1",9248,98,,"A1","84-73 126TH STREET                       ","            ",11415,1,0,1,2000,992,1925,1,"A1",505000,"2016-03-10"
4,"LAURELTON                ","01  ONE FAMILY DWELLINGS                    ","1",12877,26,,"A2","128-33 236TH STREET                      ","            ",11422,1,0,1,3895,886,1950,1,"A2",350000,"2015-08-11"
4,"LAURELTON                ","01  ONE FAMILY DWELLINGS                    ","1",12878,49,,"A2","128-20 238TH STREET                      ","            ",11422,1,0,1,3977,774,1950,1,"A2",326000,"2016-01-29"
4,"LAURELTON                ","01  ONE FAMILY DWELLINGS                    ","1",12899,230,,"A2","130-60 222ND STREET                      ","            ",11413,1,0,1,3800,940,1945,1,"A2",445000,"2015-12-14"
4,"LAURELTON                ","01  ONE FAMILY DWELLINGS                    ","1",12908,53,,"A2","130-21 230 STREET                        ","            ",11413,1,0,1,3700,888,1945,1,"A2",274905,"2016-03-15"
4,"LAURELTON                ","01  ONE FAMILY DWELLINGS                    ","1",12910,26,,"A2","231-05 131ST   AVENUE                    ","            ",11413,1,0,1,4000,984,1945,1,"A2",50000,"2015-05-14"
4,"LAURELTON                ","01  ONE FAMILY DWELLINGS                    ","1",12910,70,,"A2","130-26 232ND STREET                      ","            ",11413,1,0,1,5000,873,1945,1,"A2",470000,"2016-02-25"
4,"LAURELTON                ","01  ONE FAMILY DWELLINGS                    ","1",12910,70,,"A2","130-26 232ND   STREET                    ","            ",11413,1,0,1,5000,873,1945,1,"A2",195000,"2015-08-17"
4,"LAURELTON                ","01  ONE FAMILY DWELLINGS                    ","1",12926,223,,"A2","131-12 220TH   STREET                    ","            ",11413,1,0,1,4000,875,1935,1,"A2",210000,"2015-09-10"
4,"LAURELTON                ","01  ONE FAMILY DWELLINGS                    ","1",13035,24,,"A1","218-02 138TH AVE                         ","            ",11413,1,0,1,2025,952,1930,1,"A1",358000,"2015-06-30"
4,"LAURELTON                ","01  ONE FAMILY DWELLINGS                    ","1",13062,111,,"A1","141-36 219TH STREET                      ","            ",11413,1,0,1,1320,840,1901,1,"A1",295000,"2015-07-24"
4,"LAURELTON                ","01  ONE FAMILY DWELLINGS                    ","1",13107,3,,"A2","134-39 226TH STREET                      ","            ",11413,1,0,1,3400,936,1930,1,"A2",34000,"2016-02-22"
4,"LAURELTON                ","01  ONE FAMILY DWELLINGS                    ","1",13128,4,,"A1","137-35 220TH   PLACE                     ","            ",11413,1,0,1,2500,840,1930,1,"A1",395144,"2016-03-07"
4,"LAURELTON                ","01  ONE FAMILY DWELLINGS                    ","1",13135,99,,"A2","220-03 139 AVENUE                        ","            ",11413,1,0,1,3125,544,1910,1,"A2",145800,"2015-08-05"
4,"LITTLE NECK              ","01  ONE FAMILY DWELLINGS                    ","1",8118,13,,"A5","43-16 249TH   STREET                     ","            ",11363,1,0,1,2261,960,1930,1,"A5",569000,"2015-06-22"
4,"LITTLE NECK              ","01  ONE FAMILY DWELLINGS                    ","1",8120,24,,"A5","42-40 249 STREET                         ","            ",11363,1,0,1,4000,960,1930,1,"A5",535000,"2015-08-18"
4,"LITTLE NECK              ","01  ONE FAMILY DWELLINGS                    ","1",8120,26,,"A5","42-42 249 STREET                         ","            ",11363,1,0,1,2000,960,1930,1,"A5",540000,"2015-08-18"
4,"LITTLE NECK              ","01  ONE FAMILY DWELLINGS                    ","1",8127,58,,"A5","42-29 249TH   STREET                     ","            ",11363,1,0,1,3740,990,1925,1,"A5",607000,"2015-06-16"
4,"LITTLE NECK              ","01  ONE FAMILY DWELLINGS                    ","1",8217,160,,"A2","248-50 THEBES AVENUE                     ","            ",11362,1,0,1,4267,789,1950,1,"A2",640000,"2016-01-14"
4,"LITTLE NECK              ","01  ONE FAMILY DWELLINGS                    ","1",8230,11,,"A0","25024 GASKELL                            ","            ",11362,1,0,1,5000,792,1950,1,"A0",10,"2015-09-25"
4,"LITTLE NECK              ","01  ONE FAMILY DWELLINGS                    ","1",8239,50,,"A0","52-15 MARATHON PARKWAY                   ","            ",11362,1,0,1,4000,840,1955,1,"A0",730000,"2015-10-30"
4,"LITTLE NECK              ","01  ONE FAMILY DWELLINGS                    ","1",8249,116,,"A2","252-21 LEITH ROAD                        ","            ",11362,1,0,1,5169,972,1955,1,"A2",880000,"2016-03-03"
